	L	s	dL	gs	utility
281	2.0	0.84	4.999999999999998	0.28	251.66222939845443
282	2.0	0.88	4.999999999999998	0.28	251.66222939845443
283	2.0	0.92	4.999999999999998	0.36	251.66222939845443
284	2.0	0.96	4.999999999999998	0.44	251.66222939845443
285	2.0	1.0	4.999999999999998	0.56	251.66222939845443
286	2.2	0.0	-2.2	0.0	58.799493047174664
287	2.2	0.04	1.7763568394002505e-15	0.16	74.07642193035234
288	2.2	0.08	1.7763568394002505e-15	0.16	89.35335081353003
289	2.2	0.12	1.7763568394002505e-15	0.16	104.6302796967077
290	2.2	0.16	1.7763568394002505e-15	0.16	119.90720857988538
291	2.2	0.2	1.7763568394002505e-15	0.16	135.18413746306305
292	2.2	0.24	1.7763568394002505e-15	0.16	150.46106634624073
293	2.2	0.28	1.7763568394002505e-15	0.16	165.73799522941843
294	2.2	0.32	1.7763568394002505e-15	0.16	181.0149241125961
295	2.2	0.36	1.7763568394002505e-15	0.16	196.29185299577375
296	2.2	0.4	1.7763568394002505e-15	0.16	211.56878187895146
297	2.2	0.44	1.8000000000000034	0.2	217.2018405283304
298	2.2	0.48	4.400000000000006	0.24	222.83489917770933
299	2.2	0.52	4.800000000000006	0.24	228.46795782708827
300	2.2	0.56	4.800000000000006	0.24	234.1010164764672
301	2.2	0.6	4.800000000000006	0.24	239.73407512584612
302	2.2	0.64	4.800000000000006	0.24	245.36713377522506
303	2.2	0.68	4.800000000000006	0.24	251.000192424604
304	2.2	0.72	4.800000000000006	0.24	256.63325107398293
305	2.2	0.76	4.800000000000006	0.24	262.26630972336187
306	2.2	0.8	4.800000000000006	0.24	267.8993683727408
307	2.2	0.84	4.800000000000006	0.28	267.8993683727408
308	2.2	0.88	4.800000000000006	0.28	267.8993683727408
309	2.2	0.92	4.800000000000006	0.36	267.8993683727408
310	2.2	0.96	4.800000000000006	0.44	267.8993683727408
311	2.2	1.0	4.800000000000006	0.56	267.8993683727408
312	2.4	0.0	-2.4	0.0	62.651080256469115
313	2.4	0.04	2.220446049250313e-15	0.12	78.95384836635189
314	2.4	0.08	2.220446049250313e-15	0.12	95.25661647623467
315	2.4	0.12	2.220446049250313e-15	0.12	111.55938458611745
316	2.4	0.16	2.220446049250313e-15	0.12	127.86215269600022
317	2.4	0.2	2.220446049250313e-15	0.12	144.164920805883
318	2.4	0.24	2.220446049250313e-15	0.12	160.4676889157658
319	2.4	0.28	2.220446049250313e-15	0.12	176.77045702564857
320	2.4	0.32	2.220446049250313e-15	0.12	193.07322513553135
321	2.4	0.36	2.220446049250313e-15	0.12	209.37599324541412
322	2.4	0.4	2.220446049250313e-15	0.12	225.6787613552969
323	2.4	0.44	1.6000000000000036	0.2	231.5165116239902
324	2.4	0.48	4.200000000000006	0.24	237.35426189268352
325	2.4	0.52	4.600000000000007	0.24	243.19201216137682
326	2.4	0.56	4.600000000000007	0.24	249.02976243007015
327	2.4	0.6	4.600000000000007	0.24	254.86751269876345
328	2.4	0.64	4.600000000000007	0.24	260.70526296745675
329	2.4	0.68	4.600000000000007	0.24	266.54301323615005
